Name,N,ap,sinip,ep,astar,iz
Flora,6164,2.28,0.08,0.13,0.13,-0.05
Baptistina,310,2.28,0.10,0.14,-0.04,0.03
Vesta,3793,2.35,0.11,0.10,0.12,-0.32
McCuskey,1043,2.36,0.05,0.15,-0.12,0.01
Erigone,307,2.37,0.09,0.21,-0.09,0.05
Euterpe,387,2.38,0.02,0.18,0.09,-0.03
Nysa-Polana,2928,2.39,0.04,0.18,0.13,-0.04
Andree,649,2.40,0.08,0.17,0.13,-0.02
Massalia,730,2.41,0.03,0.16,0.07,-0.04
Teutonia,3405,2.57,0.07,0.16,0.12,-0.04
Rafita,225,2.59,0.13,0.17,0.08,-0.04
Maria,1315,2.61,0.25,0.09,0.12,-0.02
Mitidika,698,2.61,0.22,0.24,-0.11,0.03
Eunomia,2995,2.63,0.23,0.15,0.13,-0.03
Misa,185,2.65,0.04,0.18,-0.08,0.05
Adeona,428,2.66,0.20,0.17,-0.11,0.05
Juno,354,2.66,0.23,0.23,0.07,-0.03
Aeolea,172,2.66,0.07,0.19,-0.09,0.04
Henan,624,2.67,0.04,0.06,0.11,-0.02
Nemesis,129,2.73,0.09,0.09,-0.09,0.02
Lydia,598,2.74,0.11,0.03,0.16,0.01
Padua,442,2.75,0.09,0.04,-0.05,0.05
Merxia,252,2.75,0.09,0.14,0.08,-0.07
Gefion,914,2.76,0.16,0.13,0.10,-0.03
Chloris,121,2.76,0.15,0.25,-0.06,0.05
Agnia,1106,2.76,0.06,0.07,0.08,-0.01
Dora,248,2.79,0.14,0.20,-0.12,0.04
Brasilia,127,2.85,0.26,0.12,-0.05,0.03
Koronis,1267,2.90,0.04,0.05,0.09,-0.02
Eos,4367,3.04,0.18,0.07,0.04,0.03
Tirela,411,3.12,0.29,0.20,0.15,0.08
Themis,1073,3.13,0.02,0.15,-0.11,0.01
Hygiea,1076,3.15,0.09,0.13,-0.11,0.01
Lixiaohua,150,3.15,0.18,0.20,-0.07,0.05
Ursula,644,3.15,0.28,0.09,-0.06,0.06
Veritas,250,3.17,0.16,0.06,-0.08,0.05
Theobalda,100,3.17,0.25,0.25,-0.15,0.01